name,price,rating,availability,category,timestamp
A Light in the Attic,51.77,3,in_stock,books,2026-06-30 17:08:47
Tipping the Velvet,53.74,1,in_stock,books,2026-06-30 17:08:47
Soumission,50.1,1,in_stock,books,2026-06-30 17:08:47
Sharp Objects,47.82,4,in_stock,books,2026-06-30 17:08:47
Sapiens: A Brief History of Humankind,54.23,5,in_stock,books,2026-06-30 17:08:47
The Requiem Red,22.65,1,in_stock,books,2026-06-30 17:08:47
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,in_stock,books,2026-06-30 17:08:47
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,in_stock,books,2026-06-30 17:08:47
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,in_stock,books,2026-06-30 17:08:47
The Black Maria,52.15,1,in_stock,books,2026-06-30 17:08:47
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,in_stock,books,2026-06-30 17:08:47
Shakespeare's Sonnets,20.66,4,in_stock,books,2026-06-30 17:08:47
Set Me Free,17.46,5,in_stock,books,2026-06-30 17:08:47
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,in_stock,books,2026-06-30 17:08:47
Rip it Up and Start Again,35.02,5,in_stock,books,2026-06-30 17:08:47
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,in_stock,books,2026-06-30 17:08:47
Olio,23.88,1,in_stock,books,2026-06-30 17:08:47
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,in_stock,books,2026-06-30 17:08:47
Libertarianism for Beginners,51.33,2,in_stock,books,2026-06-30 17:08:47
It's Only the Himalayas,45.17,2,in_stock,books,2026-06-30 17:08:47
In Her Wake,12.84,1,in_stock,books,2026-06-30 17:08:49
How Music Works,37.32,2,in_stock,books,2026-06-30 17:08:49
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,in_stock,books,2026-06-30 17:08:49
Chase Me (Paris Nights #2),25.27,5,in_stock,books,2026-06-30 17:08:49
Black Dust,34.53,5,in_stock,books,2026-06-30 17:08:49
Birdsong: A Story in Pictures,54.64,3,in_stock,books,2026-06-30 17:08:49
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,in_stock,books,2026-06-30 17:08:49
Aladdin and His Wonderful Lamp,53.13,3,in_stock,books,2026-06-30 17:08:49
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,in_stock,books,2026-06-30 17:08:49
Wall and Piece,44.18,4,in_stock,books,2026-06-30 17:08:49
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,in_stock,books,2026-06-30 17:08:49
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,in_stock,books,2026-06-30 17:08:49
The Elephant Tree,23.82,5,in_stock,books,2026-06-30 17:08:49
The Bear and the Piano,36.89,1,in_stock,books,2026-06-30 17:08:49
Sophie's World,15.94,5,in_stock,books,2026-06-30 17:08:49
Penny Maybe,33.29,3,in_stock,books,2026-06-30 17:08:49
Maude (1883-1993):She Grew Up with the country,18.02,2,in_stock,books,2026-06-30 17:08:49
"In a Dark, Dark Wood",19.63,1,in_stock,books,2026-06-30 17:08:49
Behind Closed Doors,52.22,4,in_stock,books,2026-06-30 17:08:49
You can't bury them all: Poems,33.63,2,in_stock,books,2026-06-30 17:08:49
Slow States of Collapse: Poems,57.31,3,in_stock,books,2026-06-30 17:08:50
Reasons to Stay Alive,26.41,2,in_stock,books,2026-06-30 17:08:50
Private Paris (Private #10),47.61,5,in_stock,books,2026-06-30 17:08:50
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,in_stock,books,2026-06-30 17:08:50
Without Borders (Wanderlove #1),45.07,2,in_stock,books,2026-06-30 17:08:50
When We Collided,31.77,1,in_stock,books,2026-06-30 17:08:50
"We Love You, Charlie Freeman",50.27,5,in_stock,books,2026-06-30 17:08:50
Untitled Collection: Sabbath Poems 2014,14.27,4,in_stock,books,2026-06-30 17:08:50
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,in_stock,books,2026-06-30 17:08:50
Unicorn Tracks,18.78,3,in_stock,books,2026-06-30 17:08:50
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,in_stock,books,2026-06-30 17:08:50
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,in_stock,books,2026-06-30 17:08:50
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,in_stock,books,2026-06-30 17:08:50
This One Summer,19.49,4,in_stock,books,2026-06-30 17:08:50
Thirst,17.27,5,in_stock,books,2026-06-30 17:08:50
The Torch Is Passed: A Harding Family Story,19.09,1,in_stock,books,2026-06-30 17:08:50
The Secret of Dreadwillow Carse,56.13,1,in_stock,books,2026-06-30 17:08:50
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,in_stock,books,2026-06-30 17:08:50
The Past Never Ends,56.5,4,in_stock,books,2026-06-30 17:08:50
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,in_stock,books,2026-06-30 17:08:50
